ts_utc,run_id,agent,scope,action,status,summary,refs,commit_sha
2026-07-04T09:42:03Z,run-20260704094203-54265,copilot,general,commit,completed,docs(reports): add honest assessment of STARTER.md blueprint,docs/reports/2026-07-04-starter-assessment.md,pending
2026-07-04T10:33:47Z,run-20260704103347-129826,copilot,general,commit,completed,docs(starter): resolve C/A/D findings from blueprint assessment,STARTER.md,pending
2026-07-04T10:38:29Z,run-20260704103829-136751,copilot,general,commit,completed,docs(starter): remove user-to-user chat/chatroom feature,STARTER.md,pending
2026-07-04T10:52:30Z,run-20260704105230-157358,copilot,general,commit,completed,docs(starter): make fictional names evoke real counterparts,STARTER.md,pending
2026-07-04T11:11:54Z,run-20260704111154-185684,copilot,general,commit,completed,docs(starter): replace P2P architecture with server-client model,STARTER.md,pending
2026-07-07T12:28:05Z,run-20260707122805-50170,copilot,general,commit,completed,docs(reports): add STARTER.md readiness assessment for roadmapping go/no-go,docs/reports/2026-07-07-starter-readiness-assessment.md,pending
2026-07-09T13:51:05Z,run-20260709135105-51488,human,docs,commit,completed,docs(starter): split blueprint into Technical (§1-6) and Game Mechanics (§7-24) parts with continuous renumbering,,pending
2026-07-09T14:08:28Z,run-20260709140828-71203,human,docs,commit,completed,"docs(reports): add Part II game-mechanics readiness assessment (GM-1..GM-11, conditional go)",,pending
2026-07-11T11:29:10Z,run-20260711112910-18678,copilot,docs,commit,completed,docs(reports): assess P2P revert vs server cost (verdict: no),docs/reports/2026-07-11-p2p-server-cost-assessment.md,pending
2026-07-11T11:48:51Z,run-20260711114851-27350,copilot,docs,commit,completed,"docs(starter): apply GM-1..GM-11, NC-2, L5 mechanics-assessment fixes",STARTER.md;docs/reports/2026-07-09-mechanics-readiness-assessment.md,pending
2026-07-11T12:25:12Z,run-20260711122512-41008,copilot,docs,commit,completed,"docs(starter): add difficulty-scaled XP, social-chronic routing, hiring progression + oversight dashboard; rename art style",STARTER.md,pending
2026-07-11T12:57:11Z,run-20260711125711-49409,copilot,docs,commit,completed,docs(roadmap): add phased psychosims roadmap and fill project/design doc templates,docs/planning/ROADMAP.md;docs/project/CHARTER.md;docs/project/GLOSSARY.md;docs/project/DECISION_LOG.md;docs/code/ARCHITECTURE.md;docs/design/ADR-0001-server-authoritative-control-plane.md;docs/design/DESIGN-centralized-configuration.md;README.md;docs/tracking/context.md,pending
2026-07-11T12:57:11Z,run-20260711125711-49409,copilot,codegraph,note,completed,"chore(codegraph): re-index after roadmap + docs authoring (115 nodes, 306 edges)",.codegraph/,
2026-07-11T13:15:40Z,run-20260711131540-49409,copilot,phase-0,commit,completed,docs(specs): add C-1..C-10 corrections-register artifacts; tick phase-0.3/0.4 and link register,docs/specs/;docs/design/ADR-0002-desktop-distribution-and-auth.md;docs/planning/ROADMAP.md;docs/project/DECISION_LOG.md;docs/README.md,pending
2026-07-11T13:46:36Z,run-20260711134636-76512,copilot,agent-framework,commit,completed,fix(agents): add always-on tracking gate instruction so agents reliably fill tracking.csv,.github/instructions/tracking.instructions.md;.vscode/settings.json;.github/copilot-instructions.md,pending
2026-07-11T14:19:11Z,run-20260711141911-96542,copilot,phase-0,commit,completed,docs(roadmap): revise + enrich Phase 0 foundations; add 0.8 determinism/serialization sub-phase,docs/planning/ROADMAP.md,pending
2026-07-11T14:34:11Z,run-20260711143411-102405,copilot,phase-0,commit,completed,"docs(roadmap): enrich Phase 0 foundations (add 0.9 app-architecture, 0.10 networking, 0.11 a11y/i18n; contract/property tests; data-at-rest; core placement)",docs/planning/ROADMAP.md,pending
2026-07-11T14:44:25Z,run-20260711144425-106676,copilot,phase-0,commit,completed,"docs(roadmap): overhaul Phase 0 (add 0.12 content/injection safety; server integrity, deterministic money, authoritative time, IDs; fix CI lock)",docs/planning/ROADMAP.md,pending
2026-07-11T14:56:15Z,run-20260711145615-111137,copilot,phase-0,commit,completed,docs(roadmap): soften 5 non-foundational Phase 0 items to policy-only; move execution to 1.6/3.1-3.3/7.6,docs/planning/ROADMAP.md,pending
2026-07-12T13:17:31Z,run-20260712131731-60375,copilot,phase-0,commit,completed,docs(roadmap): move base-model integrity verify-before-load from 0.6 to Phase 1.1,docs/planning/ROADMAP.md,pending
2026-07-12T13:31:41Z,run-20260712133141-97626,copilot,phase-0.3,commit,completed,docs(specs): record provisional Tier A/B base-model selection (C-2) + DECISION 0015,docs/specs/MODEL-LICENSE-SHORTLIST.md;docs/project/DECISION_LOG.md,pending
2026-07-12T13:39:57Z,run-20260712133957-107041,copilot,phase-0,commit,completed,docs(roadmap): choose GetX for state/DI; defer Phase 0.6 security to post-PoC,docs/planning/ROADMAP.md;docs/project/DECISION_LOG.md,pending
2026-07-12T13:48:56Z,run-20260712134856-120436,copilot,phase-1,commit,completed,docs(roadmap): revise and enrich Phase 1 PoC against Phase 0 foundations,docs/planning/ROADMAP.md,pending
2026-07-12T13:54:49Z,run-20260712135449-129058,copilot,phase-1.2,commit,completed,docs(roadmap): enrich Phase 1.2 manifest schema/loader contract,docs/planning/ROADMAP.md,pending
2026-07-12T14:01:16Z,run-20260712140116-137078,copilot,phase-1,commit,completed,"docs(roadmap): revise and enrich Phase 1 PoC (perf, reliability, integrity)",docs/planning/ROADMAP.md,pending
2026-07-12T14:07:21Z,run-20260712140721-143960,copilot,phase-1,commit,completed,docs(roadmap): add acting-quality escalation ladder + prompting-first decision,docs/planning/ROADMAP.md;docs/project/DECISION_LOG.md,pending
2026-07-12T14:18:44Z,run-20260712141844-158143,copilot,phase-1,commit,completed,"docs(roadmap): revise & enrich Phase 1 PoC (deps, determinism scope, FFI/native, integrity)",docs/planning/ROADMAP.md,pending
